ID,galactic year,galaxy,existence expectancy index,existence expectancy at birth,Gross income per capita,Income Index,Expected years of education (galactic years),Mean years of education (galactic years),Intergalactic Development Index (IDI),Education Index,"Intergalactic Development Index (IDI), Rank",Population using at least basic drinking-water services (%),Population using at least basic sanitation services (%),Gross capital formation (% of GGP),"Population, total (millions)","Population, urban (%)","Mortality rate, under-five (per 1,000 live births)","Mortality rate, infant (per 1,000 live births)",Old age dependency ratio (old age (65 and older) per 100 creatures (ages 15-64)),"Population, ages 15â€“64 (millions)","Population, ages 65 and older (millions)","Life expectancy at birth, male (galactic years)","Life expectancy at birth, female (galactic years)","Population, under age 5 (millions)",Young age (0-14) dependency ratio (per 100 creatures ages 15-64),"Adolescent birth rate (births per 1,000 female creatures ages 15-19)",Total unemployment rate (female to male ratio),Vulnerable employment (% of total employment),"Unemployment, total (% of labour force)",Employment in agriculture (% of total employment),Labour force participation rate (% ages 15 and older),"Labour force participation rate (% ages 15 and older), female",Employment in services (% of total employment),"Labour force participation rate (% ages 15 and older), male",Employment to population ratio (% ages 15 and older),Jungle area (% of total land area),"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",Youth unemployment rate (female to male ratio),"Unemployment, youth (% ages 15â€“24)","Mortality rate, female grown up (per 1,000 people)","Mortality rate, male grown up (per 1,000 people)","Infants lacking immunization, red hot disease (% of one-galactic year-olds)","Infants lacking immunization, Combination Vaccine (% of one-galactic year-olds)",Gross galactic product (GGP) per capita,"Gross galactic product (GGP), total","Outer Galaxies direct investment, net inflows (% of GGP)",Exports and imports (% of GGP),Share of seats in senate (% held by female),Natural resource depletion,"Mean years of education, female (galactic years)","Mean years of education, male (galactic years)","Expected years of education, female (galactic years)","Expected years of education, male (galactic years)","Maternal mortality ratio (deaths per 100,000 live births)",Renewable energy consumption (% of total final energy consumption),"Estimated gross galactic income per capita, male","Estimated gross galactic income per capita, female",Rural population with access to electricity (%),Domestic credit provided by financial sector (% of GGP),"Population with at least some secondary education, female (% ages 25 and older)","Population with at least some secondary education, male (% ages 25 and older)",Gross fixed capital formation (% of GGP),"Remittances, inflows (% of GGP)",Population with at least some secondary education (% ages 25 and older),Intergalactic inbound tourists (thousands),"Gross enrolment ratio, primary (% of primary under-age population)","Respiratory disease incidence (per 100,000 people)",Interstellar phone subscriptions (per 100 people),"Interstellar Data Net users, total (% of population)",Current health expenditure (% of GGP),"Intergalactic Development Index (IDI), female","Intergalactic Development Index (IDI), male",Gender Development Index (GDI),"Intergalactic Development Index (IDI), female, Rank","Intergalactic Development Index (IDI), male, Rank",Adjusted net savings ,"Creature Immunodeficiency Disease prevalence, adult (% ages 15-49), total",Private galaxy capital flows (% of GGP),Gender Inequality Index (GII),Well-Being Index
10379,990025,NGC 147 (DDO 3),0.70264528,62.45810266,14130.08149,0.822891001,14.21505674,6.964082754,0.614590434,0.434753056,163.851004,,,33.5489212,599.943576,48.74365904,154.8524151,95.95764437,9.397564816,544.8601255,62.03098035,65.6830237,68.63431335,100.0054765,112.5010673,235.6075071,,,,,82.35651318,75.92267454,,89.32081662,,33.66481076,,,,326.2207437,455.4581932,35.40395551,19.11357556,11598.44467,8368.166561,18.3028577,109.5494954,,13.80346235,7.080255096,8.084677806,,,1043.971308,79.51188148,,,,117.6890837,42.71098755,46.3265179,25.43173785,12.2033269,42.87015274,,115.5434611,,,,,,,,,,16.4288876,9.090300618,,,0.051591638
10409,993012,"Cassiopeia Dwarf (Cas dSph, Andromeda VII)",1.018629769,87.45909802,41142.87952,1.065441596,15.97261071,12.06757602,0.916039197,0.835494264,70.12125013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.158739328
10414,997002,Andromeda II,1.007842192,89.72878141,47786.27572,0.98881167,16.60303692,12.93702199,1.008510022,0.832700898,86.30627696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.69857576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.173471222
10461,994009,Andromeda XIX[60],1.036860198,91.77058134,46255.92821,1.00447577,15.85613136,11.33906957,0.932488763,0.79271171,78.96805005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.142277824
10501,995006,KKH 37 (Mai 16),0.839106386,82.98343556,13960.08324,0.832948039,14.48184103,10.81378467,0.760793521,0.841140214,120.9741283,,,37.94427301,593.0724722,88.53427821,44.45998197,63.44324723,29.56152685,270.8831732,42.85747282,74.3731305,83.50312065,74.00347443,63.32158255,127.6186725,1.713923175,33.87074204,9.022728571,51.46169165,71.65800596,78.09249124,65.82155971,82.38924979,69.85433273,41.41514117,51.93330793,1.687670606,22.39107916,288.234151,557.8583029,19.91134932,15.14889352,29517.54732,10747.38813,21.7450536,142.0947006,17.37275168,10.42971904,12.76423952,13.68196282,16.70849593,14.08496708,251.4316605,44.7373641,35817.73587,12192.29206,126.6536726,108.9601745,110.9572482,120.2494081,28.94661449,,126.7986999,52216.09452,,,,,,0.706337077,0.836497161,1.050619517,104.9933635,88.22639836,8.983101087,6.22940775,20.54063018,0.771696901,0.096283356
10512,1000000,UGC 8833,0.691787389,67.97670925,31122.37082,0.790253604,13.20032052,4.194090257,0.695960347,0.659106992,188.7240346,,,31.6796917,230.7616678,47.75482224,169.3793347,93.32862346,16.96266472,312.8992802,30.96163196,63.38111461,65.19966773,54.63010104,106.9357289,106.5705911,2.659496545,115.3279004,11.65853906,68.06480806,71.02581688,55.65628537,53.21899117,85.91674116,70.53870108,77.26486884,44.13454991,1.647274657,21.62226065,375.5948318,415.157685,,,10267.77437,10770.67779,,213.0996434,,,6.246676281,7.497663871,,,965.8373907,,27971.06134,16071.18254,,,,,39.80049099,,,,,,,,,,,,,,,,,,0.049460478
10514,997002,"Sextans A (92205, DDO 75)",1.025418783,81.72425941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.108697807
10554,994009,Carina III,0.918368082,82.01708801,15293.65986,0.662726826,14.26535918,11.53511736,0.703157067,0.846789984,136.8302469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.081909026
10605,1000000,NGC 247,0.929290485,72.06444185,22895.4218,0.692584539,13.85939621,,,,,111.5819981,73.41856437,30.82200218,501.7540425,44.44955031,73.56649124,65.33580792,10.67459676,295.1818941,25.42391718,73.98450057,76.95312145,119.6744117,95.40296103,84.81284092,3.150066339,109.4846055,13.66697397,92.35265516,77.86561023,81.955459,45.36142025,91.36137362,68.12239612,61.82862187,52.21684401,1.909312772,24.56788983,250.2603192,330.9255231,53.92122507,21.6387021,41546.69276,12115.25806,23.3086549,151.6315127,5.507079527,6.769846562,,,12.60222239,12.50500902,437.9393225,67.80462209,13442.27168,18697.98268,58.11044174,101.5195787,,,24.08854796,12.47525047,,107156.0277,130.0989031,230.9001943,51.23444396,33.08563952,4.860056469,,,,,,13.84105624,,17.42327547,,0.056058024
10625,994009,M110 (NGC 205),0.98138559,81.24828684,26645.06471,0.797880252,18.56920293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.066742771
10675,996004,BoÃ¶tes I,0.742916785,63.82455391,29683.89418,0.856425123,14.6436354,11.74364849,0.748253778,0.740897645,159.2817572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.049583005
10744,1000000,Aquarius II,0.66886903,64.94711034,29717.63898,0.657747849,12.02117522,9.096616998,0.59974132,0.725223388,201.2225528,76.99359544,45.5657745,31.74694939,717.3336539,86.90806815,160.6874483,90.78430659,14.18055098,433.6342163,51.27706471,52.32144589,62.82154682,57.70383778,84.30856602,189.2966187,3.236119675,109.3804258,25.11282316,59.12888922,75.97228892,84.03664125,48.97574557,76.93589416,60.60898907,88.57445079,57.65830033,2.237448527,50.14254882,451.8803485,543.685691,83.03762473,67.77110066,17879.4347,5152.366881,5.763886429,170.5981613,25.34063374,59.11842922,5.982777663,9.275633145,12.80893876,13.20597329,869.8333275,96.36600764,23075.59171,9644.916678,,83.43489817,61.02559417,70.45128594,31.32570165,4.253075282,71.04883674,94764.87859,108.1842137,552.2838462,66.32404613,23.84479627,4.888462986,0.544452829,0.735427857,1.002669512,120.8291348,147.8334705,-20.40176191,7.232951429,16.39575688,0.8049999,0.048409555
10771,992016,Grus I,0.996234288,87.00678598,13899.69548,0.903491241,14.64354895,10.10449818,0.873220181,0.714400791,121.2213798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.078957463
10848,995006,Hercules Dwarf,1.033025189,86.58669063,28537.03171,0.786902333,15.25464587,13.88866665,0.880354247,0.810835712,93.21698295,,,10.0738602,755.1459446,93.09104292,57.41300178,38.91458694,22.90353211,449.789334,33.45455803,79.23143909,90.58332215,64.06021782,51.88363768,133.805024,3.288182589,39.99035617,13.18968999,38.04590364,62.69259815,47.14034466,69.0791092,80.73087014,60.45597809,50.50444894,49.14659436,2.433397262,28.49776435,224.0455724,248.9766834,20.56984017,12.32015359,,,,68.57614235,36.43274859,8.659133956,14.85688548,12.40608713,15.507274,13.47553322,425.2754295,75.91478034,39421.20611,11086.60384,,,97.74606997,79.40400681,15.80522379,,94.09442805,94692.49111,126.0433433,,,,,0.80416172,0.787554439,0.979518397,85.01902289,57.04056516,,4.904552147,,0.671345459,0.054333509
10889,999000,"Wolf-Lundmark-Melotte (WLM, DDO 221)",0.66088899,56.06607283,19187.05476,0.585623883,8.615109406,4.785679371,0.530652898,0.320387632,199.8705494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.044986818
10929,991020,IC 5152,0.855193381,77.11381356,15615.93278,0.668157592,10.97993302,9.396132923,0.641673316,0.609099061,152.2430439,,,,,,,,,,,,,,,,1.640739652,94.70947897,12.74914824,60.64465126,,,73.50541115,,67.43804895,,57.88707457,2.794777521,23.29035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.057757772
10985,990025,Andromeda X,0.613387993,70.91288387,17316.38434,0.675271402,7.9673862,,,,,,,22.86419581,285.0358186,51.9466618,232.6881242,143.8124474,11.034909,646.4699455,46.10224996,54.02897365,65.01155523,78.85187882,92.90457018,205.1203021,,,,,91.61596915,94.09545091,,95.80971196,,50.40769903,,,,351.8226176,542.8366312,65.31059129,42.33566874,22537.56287,6546.973813,13.31403686,115.6289277,,7.127460035,,,13.12922832,9.687328525,1272.002718,125.4998532,,,,82.10600175,,,22.83526975,8.360415206,,,105.3042689,,,,,,,,,,15.50643635,0.689836934,,,0.052900265
11025,992016,Pisces IV (Andromeda XIV),0.867757699,78.12751775,8014.593773,0.698796796,15.22140154,9.512931876,0.748714477,0.854732303,139.0966616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06989696
11075,996004,UGC 8508 (I Zw 060),0.953853148,83.72807274,42890.55756,1.067738198,19.55966402,10.23835792,0.957820448,0.868279828,104.8879467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.133441974
11179,991020,Hydra II,0.626707918,62.43248596,27836.8641,0.654031811,9.521443792,6.342706362,0.537229491,0.470011547,176.571608,,,,,,,,,,,,,,,,3.142212215,102.145506,14.37092619,72.21090265,,,68.73716359,,73.50145394,,44.98092517,1.916995543,20.20620862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.050524634
11238,1001000,"Cassiopeia Dwarf (Cas dSph, Andromeda VII)",1.061518475,87.78722035,53585.97607,1.132363444,18.59431878,13.30778938,1.020726909,1.080570397,80.77073134,117.2810128,110.2392273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.182158231
11243,997002,Draco II,0.707412383,62.47061644,4394.778613,0.612021666,7.48193594,4.524329934,0.512925313,0.421828083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.047533559
11264,990025,Sextans Dwarf Sph,0.705378604,65.29697878,18137.30631,0.644670979,11.28337317,6.102029174,0.625893599,0.547074424,142.2119262,,,26.2082174,537.8990301,64.56814671,202.1761376,124.630495,17.60292626,679.5323008,75.48385795,60.50778312,62.31125725,66.06251301,99.0701013,227.182312,,,,,93.78762178,95.47020055,,96.39814405,,73.29556234,,,,438.1991389,475.0008486,48.6750396,39.52267896,27957.43942,892.1425249,12.14942316,83.82563673,,17.17048683,5.153636228,8.89293422,9.040686363,,867.6341035,112.6074706,,,,108.2197418,25.6926171,39.68606984,23.90989355,7.195340005,47.88677952,,109.6035104,,,,,,,,,,12.96585304,5.776933647,39.1962963,,0.051552408
11272,1002001,MB 1 (KK98 21),0.925909321,87.17970347,25219.55052,0.871639734,17.27857324,11.43846927,1.01077415,0.940036564,88.68972531,112.238408,124.4110054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.133672039
11279,994009,Cas 1 (KK98 19),0.944227024,79.66111315,26328.04027,0.835895024,14.97876478,7.005453061,0.790239156,0.715265184,99.86778881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.060467812
11333,994009,Lacerta I (Andromeda XXXI),0.848596112,71.86828993,31932.13926,0.835171183,13.4922027,13.08179851,0.827382406,0.929974358,131.1377445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.069533046
11377,994009,"Leo A (Leo III, DDO 69)",0.907657169,70.73080852,21981.8458,0.900347877,11.47592344,6.044198606,0.743758786,0.47341166,163.0688165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.052988249
11381,996004,Andromeda XIX[60],1.109615967,87.33119318,18842.50504,0.989667846,15.07919065,10.59755335,0.886967394,0.856317335,79.36102539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.143406378
11398,1001000,Pisces I,0.717374617,72.12611522,9157.017296,0.592720659,11.67256428,7.390616918,0.653947423,0.461735635,210.2186345,56.96473616,52.15375981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04748384
11437,993012,Carina Dwarf (E206-G220),0.76257583,66.7919159,14530.56782,0.644226514,10.10234468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.050929527
11504,993012,Reticulum III,0.48004159,54.14569736,26787.53099,0.53752826,6.239009588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.048732389
11514,1003002,Leo V Dwarf,0.75406512,69.17152555,18051.35874,0.658073298,7.836634549,7.181945585,0.507524633,0.412891207,194.6504321,101.1731395,91.87872092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.040704977
11521,997002,Andromeda XXVIII,0.903971748,72.6553175,22185.61952,0.771211854,14.85088344,12.26885661,0.81984168,0.799867051,116.199643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.02012297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08695114
11609,1000000,NGC 5206,0.57674176,56.93438899,20598.10272,0.57851279,14.46720791,10.47064713,0.640344361,0.587970831,225.3727106,70.42839519,58.83125854,,861.754391,52.36782878,216.7669008,147.3766273,9.079993564,812.9396767,53.40913291,50.69482156,58.20268089,123.2024996,118.3370413,228.9917709,1.413325413,112.9298321,23.13550598,98.98489709,83.28132938,82.86540037,48.63717164,93.72074799,79.9568235,92.19435234,43.36657013,2.406344516,36.75251054,734.3809897,712.284149,28.71834447,16.34672437,26917.5461,4946.054098,20.01770037,90.68788127,15.62181609,8.422066357,9.140462235,9.458826557,,,781.6788127,127.7103716,23657.09043,12439.02675,31.2839803,159.3095269,60.1245711,78.64537803,,,46.45768017,72800.11686,95.56117066,1009.51588,64.86071083,37.1524154,10.11863046,,,,,,,20.37248731,7.482223318,0.739505568,0.04719232
11626,1003002,Ursa Major II Dwarf,1.080065722,98.50519707,53455.72171,1.110790765,23.99066046,15.59993248,0.877231862,1.028911988,47.05698571,119.4962886,123.8819795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.193184844
11658,999000,Andromeda VIII,0.570437581,53.68531803,22734.46631,0.51811215,14.57815732,8.935144329,0.661532966,0.730884656,176.6263714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.046564323
11710,1001000,NGC 404,0.868839566,82.69408187,20727.09044,0.619987388,16.35060989,14.03942091,0.867536758,0.872629855,104.2053076,101.2948455,125.5171118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.068671047
11733,998001,FM2000 1,0.83358958,83.47855078,35899.45654,0.911422639,15.73238764,11.56905009,0.832821142,0.766283299,115.3347395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064680966
11787,1002001,KKs 3,0.831379731,77.44595331,21286.73553,0.680710819,8.03324729,6.209580706,0.661531508,0.424789066,162.2553096,114.3727242,66.66307125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.047933039
11870,996004,Reticulum III,0.611309278,52.04918699,6478.718803,0.587404584,6.081190941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.046924538
11888,996004,ESO 325-11,0.986148914,81.89757111,21612.13838,0.873697685,15.21942871,10.23938549,0.940547505,0.783703576,117.6068108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.076616219
11893,994009,Tucana III,0.928281767,74.90709304,14410.26696,0.952836608,14.19138152,8.8451799,0.824679553,0.591660313,141.8160326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.063094219
11895,1001000,Andromeda III,0.863283444,85.81029518,32225.03875,0.916013666,16.66134753,13.42198905,0.936515267,1.002690896,101.0622459,116.2514278,138.1570227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.119438507
11900,1000000,KUG 1210+301B (KK98 127),0.836663404,74.95474765,9701.164804,0.556428764,12.62183602,5.456283189,0.575829836,0.482429866,184.0852286,106.741248,43.09616639,33.78592875,759.5767164,31.70529327,126.6293943,94.42393555,16.49304418,450.8889101,68.81638053,67.64115303,68.59840749,60.93874663,99.29144315,178.7533186,2.144849141,98.85450473,9.880737204,103.7032567,91.3125842,102.9127158,28.50485851,104.0669695,90.93251144,64.85967445,41.33858495,1.304062713,12.19769848,265.0239117,390.8194284,45.98569128,27.04424745,19701.73342,6389.790722,19.9465613,83.6692518,21.67559866,11.21297051,4.59421922,5.74961241,8.127955483,12.35820097,993.522224,121.6658441,25652.13107,14118.60933,76.28073417,84.81125975,29.65226864,69.33100628,23.6112497,13.20536622,49.5866075,103880.2424,135.8171699,384.6826147,47.54060485,,5.963400172,0.616177128,0.711259802,0.850969617,160.1517935,167.2831392,31.55661336,3.01053853,,0.833461804,0.050051135
